Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.28515,0.128,0.012 ,0.166 ,0.337 ,0.344 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.28741,0.128,-0.002 ,0.043 ,0.081 ,0.083 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.41313,0.128,0.021 ,0.290 ,0.590 ,0.602 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.41541,0.128,-0.001 ,0.048 ,0.093 ,0.094 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.54112,0.128,0.003 ,0.795 ,1.562 ,1.594 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.54341,0.128,-0.001 ,0.035 ,0.067 ,0.068 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.66911,0.128,0.021 ,1.208 ,2.389 ,2.437 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.67141,0.128,-0.003 ,0.102 ,0.197 ,0.201 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.79709,0.128,0.031 ,0.669 ,1.341 ,1.368 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.79942,0.128,0.000 ,0.036 ,0.070 ,0.071 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.92508,0.128,-0.069 ,0.869 ,1.633 ,1.667 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.92742,0.128,0.007 ,0.071 ,0.147 ,0.150 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.03942,0.128,-0.001 ,0.606 ,1.188 ,2.565 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.16743,0.128,-0.005 ,0.059 ,0.111 ,0.240 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.29543,0.128,-0.006 ,0.101 ,0.192 ,0.414 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.42343,0.128,0.003 ,0.170 ,0.336 ,0.726 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.55143,0.128,-0.001 ,0.287 ,0.562 ,1.213 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.67944,0.128,-0.001 ,0.035 ,0.068 ,0.147 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.80744,0.128,0.002 ,0.035 ,0.071 ,0.153 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,18.93544,0.128,-0.003 ,0.082 ,0.159 ,0.343 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.06345,0.128,0.003 ,1.133 ,2.223 ,4.800 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.19145,0.128,0.000 ,0.290 ,0.568 ,1.226 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.31945,0.128,0.003 ,0.056 ,0.112 ,0.242 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.44746,0.128,0.001 ,0.031 ,0.062 ,0.134 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.57546,0.128,0.010 ,0.864 ,1.703 ,3.678 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.70346,0.128,-0.005 ,0.503 ,0.981 ,2.118 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.83146,0.128,-0.003 ,0.052 ,0.099 ,0.214 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,19.95947,0.128,-0.005 ,0.078 ,0.148 ,0.319 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.08747,0.128,0.000 ,0.055 ,0.108 ,0.233 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.21547,0.128,-0.007 ,0.811 ,1.582 ,3.415 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.34348,0.128,-0.001 ,0.177 ,0.347 ,0.749 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.47148,0.128,-0.003 ,0.114 ,0.220 ,0.476 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.59948,0.128,-0.007 ,0.076 ,0.142 ,0.306 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.72749,0.128,-0.005 ,0.067 ,0.126 ,0.272 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.85549,0.128,-0.003 ,0.150 ,0.292 ,0.630 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,20.98349,0.128,0.004 ,0.038 ,0.078 ,0.169 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.11149,0.128,-0.003 ,0.031 ,0.057 ,0.124 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.2395,0.128,0.005 ,0.022 ,0.049 ,0.105 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.3675,0.128,0.000 ,0.030 ,0.059 ,0.128 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.4955,0.128,-0.006 ,0.970 ,1.896 ,4.092 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.62351,0.128,-0.001 ,0.030 ,0.057 ,0.123 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.75151,0.128,0.000 ,0.025 ,0.049 ,0.107 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,21.87951,0.128,-0.003 ,0.035 ,0.065 ,0.141 
VLA,12:32:28.2619,+49:56:03.114,2022-04-25T07:07:07.000,0.15,0.044,21.99952,8.048,0.000 ,0.023 ,0.045 ,0.098 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.00752,0.128,0.003 ,0.067 ,0.135 ,0.290 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.13552,0.128,0.001 ,0.047 ,0.092 ,0.200 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.26352,0.128,0.005 ,0.086 ,0.174 ,0.375 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.39152,0.128,-0.001 ,0.048 ,0.093 ,0.202 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.51953,0.128,0.002 ,0.914 ,1.793 ,3.872 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.64753,0.128,0.001 ,0.035 ,0.068 ,0.148 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.77553,0.128,0.005 ,0.034 ,0.072 ,0.156 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,22.90354,0.128,0.002 ,0.030 ,0.061 ,0.132 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.03154,0.128,-0.010 ,0.026 ,0.041 ,0.089 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.15954,0.128,-0.005 ,0.329 ,0.639 ,1.379 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.28755,0.128,-0.001 ,0.042 ,0.082 ,0.176 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.41555,0.128,-0.005 ,0.045 ,0.083 ,0.179 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.54355,0.128,0.014 ,0.064 ,0.139 ,0.300 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.67155,0.128,0.007 ,0.038 ,0.080 ,0.173 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.79956,0.128,0.008 ,0.039 ,0.084 ,0.181 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,23.92756,0.128,0.008 ,0.081 ,0.168 ,0.363 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.05556,0.128,0.013 ,0.078 ,0.165 ,0.357 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.18357,0.128,0.000 ,0.105 ,0.206 ,0.445 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.31157,0.128,0.000 ,0.589 ,1.153 ,2.490 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.43957,0.128,0.003 ,0.402 ,0.791 ,1.709 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.56758,0.128,-0.004 ,0.063 ,0.120 ,0.260 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.69558,0.128,0.005 ,0.046 ,0.096 ,0.206 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.82358,0.128,0.000 ,0.100 ,0.195 ,0.422 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,24.95158,0.128,-0.001 ,0.053 ,0.103 ,0.223 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.07959,0.128,0.001 ,0.079 ,0.155 ,0.335 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.20759,0.128,-0.010 ,0.412 ,0.797 ,1.721 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.33559,0.128,0.017 ,0.282 ,0.569 ,1.229 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.4636,0.128,-0.007 ,0.224 ,0.431 ,0.931 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.5916,0.128,-0.006 ,0.032 ,0.056 ,0.122 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.7196,0.128,-0.005 ,0.052 ,0.097 ,0.209 
VLA,12:32:28.2620,+49:56:04.285,2022-04-25T07:07:07.000,0.15,0.044,25.84761,0.128,-0.009 ,0.051 ,0.091 ,0.197 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.03968,0.128,-0.003 ,0.132 ,0.255 ,1.268 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.16768,0.128,0.006 ,0.318 ,0.629 ,3.128 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.29568,0.128,0.003 ,0.160 ,0.316 ,1.572 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.42369,0.128,0.007 ,0.046 ,0.096 ,0.478 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.55169,0.128,0.000 ,0.053 ,0.103 ,0.514 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.67969,0.128,0.008 ,0.062 ,0.129 ,0.639 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.8077,0.128,-0.011 ,0.061 ,0.107 ,0.532 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,29.9357,0.128,-0.001 ,0.156 ,0.305 ,1.518 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.0637,0.128,-0.003 ,1.448 ,2.835 ,14.091 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.1917,0.128,0.007 ,0.171 ,0.342 ,1.699 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.31971,0.128,-0.003 ,0.628 ,1.228 ,6.101 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.44771,0.128,0.003 ,0.038 ,0.076 ,0.379 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.57571,0.128,0.008 ,0.061 ,0.128 ,0.636 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.70372,0.128,-0.006 ,0.035 ,0.061 ,0.306 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.83172,0.128,-0.003 ,0.055 ,0.106 ,0.526 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,30.95972,0.128,-0.010 ,2.672 ,5.227 ,25.979 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.08773,0.128,0.003 ,0.039 ,0.080 ,0.396 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.21573,0.128,0.004 ,0.060 ,0.121 ,0.603 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.34373,0.128,-0.002 ,0.036 ,0.068 ,0.338 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.47173,0.128,-0.008 ,0.046 ,0.083 ,0.411 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.59974,0.128,0.001 ,0.026 ,0.052 ,0.259 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.72774,0.128,0.005 ,0.040 ,0.084 ,0.418 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.85574,0.128,0.008 ,0.271 ,0.540 ,2.682 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,31.98375,0.128,0.001 ,0.080 ,0.157 ,0.780 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.11175,0.128,-0.001 ,0.116 ,0.226 ,1.125 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.23975,0.128,0.002 ,0.111 ,0.220 ,1.093 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.36775,0.128,0.001 ,0.061 ,0.121 ,0.604 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.49576,0.128,0.005 ,0.057 ,0.117 ,0.582 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.62376,0.128,0.002 ,0.055 ,0.108 ,0.539 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.75176,0.128,0.005 ,0.048 ,0.098 ,0.486 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,32.87977,0.128,-0.003 ,0.064 ,0.122 ,0.608 
VLA,12:32:25.5470,+49:56:29.344,2022-04-25T06:44:14.000,0.2,0.029,32.99977,8.048,0.000 ,0.036 ,0.071 ,0.353 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.00777,0.128,-0.003 ,0.069 ,0.132 ,0.657 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.13577,0.128,0.012 ,0.087 ,0.183 ,0.907 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.26378,0.128,-0.006 ,0.151 ,0.289 ,1.435 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.39178,0.128,0.001 ,0.807 ,1.583 ,7.870 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.51978,0.128,0.010 ,0.100 ,0.205 ,1.019 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.64778,0.128,-0.003 ,0.088 ,0.169 ,0.838 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.77579,0.128,0.004 ,0.103 ,0.207 ,1.028 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,33.90379,0.128,-0.005 ,0.033 ,0.059 ,0.292 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.03179,0.128,-0.014 ,0.062 ,0.108 ,0.537 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.1598,0.128,-0.011 ,0.049 ,0.085 ,0.422 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.2878,0.128,-0.008 ,0.991 ,1.935 ,9.616 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.4158,0.128,-0.012 ,0.052 ,0.091 ,0.451 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.54381,0.128,-0.019 ,0.156 ,0.287 ,1.427 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.67181,0.128,-0.013 ,0.535 ,1.035 ,5.144 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.79981,0.128,0.015 ,0.249 ,0.504 ,2.504 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,34.92781,0.128,-0.010 ,0.093 ,0.173 ,0.860 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.05582,0.128,-0.002 ,0.054 ,0.105 ,0.521 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.18382,0.128,-0.007 ,0.067 ,0.124 ,0.617 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.31182,0.128,-0.001 ,0.090 ,0.175 ,0.870 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.43983,0.128,0.002 ,0.086 ,0.171 ,0.849 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.56783,0.128,-0.010 ,0.109 ,0.203 ,1.011 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.69583,0.128,-0.001 ,1.344 ,2.633 ,13.087 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.82384,0.128,-0.008 ,0.095 ,0.178 ,0.884 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,35.95184,0.128,0.006 ,0.099 ,0.201 ,0.998 
ALMA,04:31:43.1160,+18:12:51.977,2023-09-22T09:12:07.776,1.4,0.036,36.07577,1.705,0.011 ,0.919 ,1.812 ,5.845 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.07984,0.128,0.007 ,0.943 ,1.856 ,9.222 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.20784,0.128,0.015 ,0.068 ,0.149 ,0.739 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.33585,0.128,-0.018 ,0.043 ,0.066 ,0.326 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.46385,0.128,0.005 ,0.069 ,0.141 ,0.702 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.59185,0.128,0.005 ,0.038 ,0.080 ,0.399 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.71986,0.128,0.012 ,0.192 ,0.388 ,1.928 
VLA,12:32:25.5470,+49:56:30.125,2022-04-25T06:44:14.000,0.2,0.029,36.84786,0.128,-0.017 ,0.219 ,0.412 ,2.046 
ALMA,04:31:47.9831,+18:11:42.601,2023-10-14T08:06:42.384,3.9,0.075,37.20337,1.806,0.029 ,0.809 ,1.616 ,1.201 
ALMA,04:31:43.1160,+18:12:51.977,2023-09-22T09:12:07.776,1.4,0.036,37.98289,1.781,0.000 ,0.507 ,0.994 ,3.205 
ALMA,04:31:47.9831,+18:11:42.601,2023-10-14T08:06:42.384,3.9,0.075,39.16745,1.789,0.106 ,0.577 ,1.237 ,0.919 
ALMA,23:49:58.0116,-56:40:17.779,2024-06-24T09:30:47.232,7.33,0.071,39.99122,1.805,0.009 ,0.339 ,0.673 ,0.558 
ALMA,23:49:58.0116,-56:40:17.779,2024-06-24T09:30:47.232,7.33,0.071,40.00315,1.828,-0.019 ,0.398 ,0.760 ,0.630 
ALMA,04:31:43.1160,+18:12:51.977,2023-09-22T09:12:07.776,1.4,0.036,40.01257,1.763,-0.003 ,0.966 ,1.890 ,6.097 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.03993,0.128,0.011 ,0.786 ,1.551 ,13.395 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.16793,0.128,-0.003 ,0.137 ,0.265 ,2.286 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.29594,0.128,0.007 ,0.151 ,0.304 ,2.622 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.42394,0.128,0.001 ,0.177 ,0.348 ,3.006 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.55194,0.128,0.017 ,0.487 ,0.972 ,8.390 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.67994,0.128,-0.006 ,0.254 ,0.492 ,4.252 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.80795,0.128,-0.031 ,0.345 ,0.645 ,5.572 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,40.93595,0.128,0.013 ,0.466 ,0.926 ,8.001 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.06395,0.128,0.009 ,3.445 ,6.761 ,58.388 
ALMA,04:31:47.9831,+18:11:42.601,2023-10-14T08:06:42.384,3.9,0.075,41.16572,1.854,0.118 ,0.553 ,1.202 ,0.893 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.19196,0.128,-0.023 ,0.372 ,0.706 ,6.093 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.31996,0.128,0.003 ,0.184 ,0.365 ,3.151 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.44796,0.128,0.014 ,0.627 ,1.244 ,10.743 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.57597,0.128,0.038 ,0.263 ,0.554 ,4.785 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.70397,0.128,0.012 ,0.457 ,0.907 ,7.830 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.83197,0.128,-0.004 ,0.088 ,0.167 ,1.443 
ALMA,04:31:43.1160,+18:12:51.977,2023-09-22T09:12:07.776,1.4,0.036,41.83571,1.392,0.004 ,2.189 ,4.294 ,13.849 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,41.95997,0.128,-0.011 ,0.645 ,1.254 ,10.830 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.08798,0.128,-0.005 ,0.371 ,0.721 ,6.225 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.21598,0.128,0.012 ,0.755 ,1.492 ,12.882 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.34398,0.128,0.004 ,0.114 ,0.228 ,1.965 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.47199,0.128,-0.019 ,0.077 ,0.132 ,1.137 
ALMA,20:41:10.1555,-44:53:31.667,2024-05-02T09:23:43.440,4.07,0.065,42.52253,1.781,-0.063 ,1.930 ,3.720 ,3.680 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.59999,0.128,0.015 ,0.115 ,0.241 ,2.078 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.72799,0.128,-0.020 ,0.161 ,0.296 ,2.558 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.85599,0.128,0.017 ,0.528 ,1.053 ,9.090 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,42.984,0.128,0.000 ,0.251 ,0.492 ,4.251 
ALMA,13:47:38.5557,-11:47:17.093,2024-03-15T05:46:06.912,3.61,0.066,43.01774,1.75,1.987 ,4.829 ,11.452 ,10.988 
ALMA,04:31:47.9831,+18:11:42.601,2023-10-14T08:06:42.384,3.9,0.075,43.0772,1.802,0.166 ,0.871 ,1.874 ,1.392 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,43.112,0.128,0.010 ,2.620 ,5.145 ,44.434 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,43.24,0.128,-0.023 ,0.939 ,1.817 ,15.690 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,43.36801,0.128,-0.005 ,0.297 ,0.576 ,4.977 
VLA,12:32:24.1893,+49:56:43.043,2022-04-25T06:16:53.000,0.22,0.022,43.49601,0.128,0.014 ,0.257 ,0.518 ,4.473 
ALMA,23:49:58.0116,-56:40:17.779,2024-06-24T09:30:47.232,7.33,0.071,43.52944,1.752,-0.012 ,0.631 ,1.226 ,1.016 
