Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,797.3135,1.055,225.800 ,1332.000 ,2836.467 ,740991.274 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,798.6562,1.766,99.670 ,2083.000 ,4182.267 ,1092564.596 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,800.1274,1.857,42.210 ,578.100 ,1175.263 ,545818.049 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,801.1288,1.313,-0.147 ,342.000 ,670.160 ,175070.802 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,801.8221,1.75,-53.580 ,813.600 ,1541.043 ,715694.632 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,801.8848,1.75,2.572 ,754.900 ,1482.146 ,688341.261 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,802.0014,1.869,70.540 ,982.700 ,1996.593 ,927261.763 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,803.1287,1.813,-17.750 ,246.500 ,465.380 ,121574.711 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,803.8143,1.735,-47.560 ,652.500 ,1231.314 ,571849.383 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,803.8805,1.75,-88.750 ,695.400 ,1274.206 ,591769.507 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,804.1878,1.82,79.780 ,424.500 ,911.783 ,423452.181 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,804.8113,1.782,-7.544 ,226.500 ,436.387 ,114000.602 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,805.3105,1.86,70.410 ,313.900 ,685.641 ,318427.037 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,806.0861,1.865,129.300 ,532.200 ,1172.391 ,544484.152 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,806.2939,1.855,-0.315 ,354.600 ,694.687 ,181478.146 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,806.4387,1.828,22.860 ,395.400 ,797.828 ,208422.584 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,806.5429,1.563,32.540 ,220.600 ,464.907 ,121451.156 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,807.1854,1.868,33.550 ,510.500 ,1034.110 ,480263.339 
